0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:45:44 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/styles/login.css HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/register.js HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:15 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:16 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:20 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:20 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:20 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:21 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:21 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:21 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:21 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:21 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:22 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:23 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:23 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:46:23 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:47:42 +0800] "POST /microblog/myblog/register.form HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:47:51 +0800] "POST /microblog/myblog/register.form HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/styles/login.css HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/register.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 200 84359
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 200 22117
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 200 210974
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:06 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14537
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:07 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:07 +0800] "POST /microblog/register.form HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:08 +0800] "POST /microblog/register.form HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:09 +0800] "POST /microblog/register.form HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/styles/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:34 +0800] "POST /microblog/register.form HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/styles/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/register.js HTTP/1.1" 200 447
